Trial,MinLatency(ns)
1,372700
2,371400
3,362000
4,340800
5,348700
6,339100
7,351500
8,359700
9,352400
10,342400
11,316300
12,296500
13,337800
14,345500
15,348100
16,340700
17,345100
18,349900
19,337800
20,321400
21,359300
22,416900
23,390400
24,384000
25,359200
26,373400
27,331500
28,374400
29,366800
30,350100
31,363600
32,330800
33,328300
34,320300
35,321800
36,310900
37,304300
38,317100
39,316200
40,317700
41,335300
42,320500
43,309300
44,317200
45,302000
46,305300
47,295000
48,257200
49,272200
50,256700
51,269400
52,271500
53,272200
54,260200
55,262300
56,267700
57,260400
58,266300
59,269600
60,257900
61,270100
62,262000
63,261000
64,265300
65,254700
66,266200
67,260800
68,262800
69,263600
70,282000
71,276500
72,262800
73,271700
74,273100
75,250500
76,258700
77,259600
78,275500
79,281600
80,266700
81,277500
82,271800
83,270800
84,273700
85,276100
86,267400
87,272200
88,281400
89,279800
90,274500
91,272900
92,263700
93,261500
94,275100
95,272000
96,276700
97,279400
98,272100
99,277800
100,284300
101,268200
102,280200
103,270000
104,275200
105,285100
106,271800
107,279900
108,282300
109,284400
110,265400
111,271200
112,285800
113,264600
114,269600
115,266200
116,276900
117,266900
118,274700
119,272300
120,269300
121,276600
122,279000
123,268900
124,275400
125,278700
126,267200
127,273300
128,269000
129,281600
130,276800
131,278400
132,282500
133,270700
134,276800
135,323600
136,301600
137,358300
138,327300
139,306300
140,314900
141,313400
142,306700
143,308300
144,252800
145,256800
146,273400
147,263100
148,270200
149,276500
150,267800
151,278000
152,271200
153,277000
154,279900
155,265100
156,265600
157,273700
158,280100
159,272000
160,277800
161,270400
162,269100
163,273100
164,257200
165,280000
166,281300
167,273600
168,274500
169,278500
170,260300
171,262200
172,279300
173,286900
174,274200
175,265000
176,267800
177,272900
178,280500
179,289800
180,290800
181,286400
182,276000
183,274000
184,274300
185,274100
186,272800
187,284800
188,278900
189,272500
190,289000
191,295200
192,276100
193,271600
194,274900
195,271500
196,284300
197,272700
198,276300
199,286500
200,276800
201,266700
202,284000
203,282600
204,277400
205,275100
206,274500
207,285900
208,281700
209,284800
210,281000
211,282700
212,280100
213,280500
214,282400
215,290300
216,293400
217,288600
218,289600
219,299500
220,283500
221,270700
222,278300
223,281500
224,281000
225,277800
226,272400
227,283100
228,269900
229,273700
230,280900
231,278000
232,283900
233,270200
234,271000
235,279600
236,279200
237,276800
238,281300
239,285300
240,286300
241,274000
242,278800
243,284000
244,287500
245,286800
246,285000
247,285000
248,280200
249,284500
250,266600
251,290200
252,266900
253,276500
254,280600
255,282800
256,281000
257,285500
258,283900
259,279800
260,269100
261,259600
262,270300
263,324000
264,280600
265,270200
266,280000
267,284300
268,282100
269,267200
270,267000
271,269600
272,270800
273,285200
274,276900
275,281200
276,292800
277,274700
278,282000
279,282100
280,272800
281,282300
282,282900
283,287800
284,271900
285,266100
286,273000
287,265700
288,287400
289,295300
290,275400
291,278500
292,269300
293,264700
294,275000
295,269900
296,279300
297,267800
298,271000
299,271100
300,287100
301,277500
302,287300
303,287700
304,277000
305,278200
306,268400
307,277200
308,280600
309,269200
310,269600
311,272200
312,268400
313,273100
314,272500
315,277700
316,265300
317,269500
318,277500
319,267000
320,270300
321,278500
322,268300
323,271200
324,279200
325,281300
326,277700
327,286300
328,279000
329,270100
330,277100
331,267900
332,274200
333,287000
334,276300
335,275400
336,292800
337,288300
338,270500
339,277800
340,278200
341,269500
342,270100
343,274800
344,264900
345,275400
346,266900
347,276900
348,269800
349,285000
350,277000
351,286700
352,311200
353,340700
354,281100
355,270000
356,292300
357,282700
358,267200
359,318200
360,338200
361,336500
362,353900
363,280500
364,273000
365,284700
366,287100
367,290600
368,302200
369,294900
370,303100
371,287000
372,300700
373,292200
374,310200
375,297900
376,268700
377,265100
378,256900
379,276600
380,277400
381,292700
382,268500
383,267100
384,274000
385,266300
386,272900
387,279800
388,273400
389,263800
390,278000
391,268700
392,283900
393,271900
394,268800
395,267900
396,276200
397,282600
398,272600
399,290000
400,286100
401,293100
402,273600
403,265400
404,268400
405,270900
406,276800
407,265100
408,277200
409,266500
410,266700
411,276500
412,268300
413,280200
414,268900
415,268300
416,269200
417,268300
418,277300
419,277700
420,272200
421,266800
422,263100
423,275100
424,283000
425,267600
426,270300
427,283100
428,280700
429,265300
430,276400
431,272300
432,272700
433,276000
434,264200
435,267200
436,268200
437,272100
438,271300
439,287200
440,280100
441,269900
442,272900
443,285700
444,263700
445,282900
446,269000
447,262200
448,289600
449,273700
450,276200
451,268400
452,275200
453,293300
454,270300
455,269500
456,279400
457,272200
458,280300
459,281600
460,264700
461,268300
462,258100
463,270700
464,273200
465,281200
466,287700
467,276300
468,271500
469,268700
470,267100
471,268300
472,273700
473,280700
474,287400
475,268300
476,280500
477,265800
478,270100
479,279100
480,277300
481,272100
482,281500
483,270200
484,270500
485,268400
486,282000
487,282600
488,272300
489,272700
490,267800
491,267900
492,265100
493,275000
494,265700
495,268000
496,268100
497,267400
498,277400
499,277700
500,269800
501,278000
502,293900
503,270200
504,270500
505,275400
506,279000
507,276900
508,271400
509,272400
510,266700
511,272600
512,271400
513,276400
514,283100
515,267900
516,287000
517,272500
518,271600
519,278200
520,284200
521,278600
522,282200
523,279500
524,274800
525,287100
526,267900
527,286400
528,270800
529,272300
530,281600
531,266700
532,266300
533,295300
534,276100
535,281800
536,280800
537,269700
538,285200
539,269000
540,280000
541,281000
542,271100
543,276400
544,272900
545,280100
546,290800
547,271800
548,266000
549,279800
550,272100
551,268200
552,278700
553,268700
554,283300
555,291200
556,276600
557,272200
558,269300
559,275100
560,285600
561,270700
562,283100
563,269900
564,267400
565,273400
566,267600
567,266200
568,269400
569,265700
570,267600
571,271400
572,270400
573,266600
574,282600
575,265700
576,266400
577,275900
578,283900
579,284400
580,270500
581,282500
582,267100
583,265300
584,277600
585,270600
586,273500
587,269500
588,296500
589,290000
590,268700
591,269700
592,278800
593,274500
594,264700
595,269800
596,267300
597,285400
598,270100
599,269100
600,272500
601,285900
602,288200
603,273200
604,272600
605,268500
606,264800
607,277400
608,266700
609,282900
610,277800
611,279700
612,276800
613,278300
614,280200
615,277500
616,264500
617,281300
618,280700
619,263300
620,269700
621,277200
622,269200
623,267200
624,289200
625,282900
626,278900
627,280200
628,270400
629,287400
630,269200
631,291600
632,271500
633,289500
634,274200
635,260700
636,264600
637,274800
638,266600
639,273700
640,279800
641,288600
642,267900
643,284000
644,279900
645,275700
646,273700
647,262400
648,269700
649,271300
650,278200
651,283800
652,269200
653,280900
654,284700
655,269000
656,274600
657,277600
658,277800
659,265600
660,270800
661,282200
662,267400
663,285800
664,275600
665,275100
666,263300
667,269900
668,267300
669,271000
670,272500
671,270600
672,280800
673,289500
674,273800
675,283000
676,284800
677,285500
678,276300
679,269000
680,284500
681,285400
682,271100
683,269400
684,270600
685,267300
686,274000
687,270700
688,271300
689,266200
690,275500
691,269000
692,270500
693,286900
694,272800
695,270400
696,268600
697,266200
698,280100
699,265600
700,276400
701,279000
702,284400
703,277400
704,276900
705,275700
706,268700
707,277900
708,282400
709,274600
710,271800
711,276400
712,277100
713,285200
714,269700
715,281000
716,270100
717,268700
718,286300
719,278100
720,269200
721,275300
722,267500
723,274100
724,280000
725,295500
726,264500
727,288300
728,265800
729,267400
730,286200
731,265400
732,268300
733,271400
734,275200
735,268200
736,289300
737,271500
738,275800
739,283900
740,270300
741,267300
742,269000
743,267800
744,283700
745,275400
746,269600
747,281700
748,279900
749,282800
750,275800
751,279100
752,279900
753,281200
754,274800
755,277900
756,276900
757,274300
758,274800
759,268600
760,271400
761,280800
762,272400
763,275700
764,273100
765,271100
766,281400
767,276800
768,266500
769,277800
770,288300
771,284700
772,285500
773,293100
774,263900
775,285100
776,290400
777,274300
778,284800
779,304900
780,270200
781,275700
782,263300
783,280500
784,270700
785,277700
786,270300
787,271500
788,276100
789,282700
790,270200
791,286200
792,275900
793,288100
794,286600
795,281300
796,277800
797,275800
798,271000
799,288300
800,266400
801,265300
802,266200
803,270100
804,273700
805,289200
806,284500
807,266800
808,283300
809,263200
810,271700
811,279300
812,268900
813,269000
814,282200
815,276300
816,282000
817,279300
818,273600
819,269600
820,272800
821,271100
822,284000
823,260900
824,269600
825,275300
826,271000
827,284500
828,265700
829,271400
830,288600
831,268600
832,266400
833,264000
834,279100
835,265000
836,289800
837,259400
838,272200
839,270300
840,277800
841,272500
842,271500
843,268500
844,263300
845,272400
846,262800
847,279600
848,266900
849,264900
850,273900
851,278800
852,270100
853,277900
854,281500
855,279400
856,270600
857,271100
858,266200
859,266800
860,288200
861,275000
862,266000
863,274900
864,272500
865,269600
866,280200
867,281700
868,287200
869,286800
870,269300
871,285200
872,287100
873,270900
874,265000
875,278000
876,284200
877,270400
878,268300
879,267700
880,273900
881,269400
882,271200
883,278000
884,282600
885,278400
886,278200
887,290200
888,284200
889,269000
890,271800
891,289800
892,290600
893,274200
894,270000
895,272900
896,275500
897,281000
898,272000
899,264300
900,292100
901,291500
902,279900
903,263100
904,276500
905,282400
906,274800
907,268900
908,274300
909,271100
910,268800
911,277400
912,268600
913,269900
914,267500
915,279800
916,282800
917,267800
918,283200
919,268500
920,296000
921,296800
922,281500
923,267000
924,278500
925,285200
926,269800
927,282900
928,265500
929,288100
930,274100
931,268000
932,273400
933,269500
934,291300
935,280300
936,291400
937,288400
938,277300
939,274600
940,282900
941,290100
942,276300
943,278100
944,268600
945,267500
946,265700
947,274000
948,266600
949,270900
950,274800
951,269800
952,280600
953,279200
954,284700
955,271500
956,268300
957,273000
958,282100
959,273300
960,264500
961,262400
962,285700
963,271600
964,284200
965,265400
966,280100
967,280700
968,271500
969,270700
970,267800
971,296600
972,283100
973,281300
974,272200
975,272200
976,267800
977,269800
978,267900
979,273300
980,285800
981,277900
982,278900
983,264200
984,290000
985,279600
986,272700
987,287300
988,282100
989,262900
990,272500
991,263500
992,286900
993,284600
994,276800
995,277600
996,270200
997,277000
998,280000
999,282300
1000,265400
