Trial,MinLatency(ns)
1,390300
2,380400
3,339900
4,376600
5,367600
6,336800
7,370400
8,379300
9,369600
10,376600
11,376200
12,368900
13,329300
14,351400
15,356900
16,328400
17,326800
18,337500
19,327800
20,359700
21,370900
22,354700
23,318300
24,369600
25,361700
26,402400
27,402500
28,348200
29,342800
30,363200
31,358600
32,362000
33,342400
34,318500
35,309600
36,325700
37,309400
38,319400
39,322800
40,322900
41,315800
42,295900
43,302000
44,315600
45,289500
46,303300
47,281800
48,271200
49,262000
50,272000
51,274800
52,284000
53,274400
54,270000
55,271700
56,281900
57,262300
58,283800
59,275100
60,277600
61,265600
62,275300
63,282700
64,283400
65,267500
66,276000
67,276200
68,262600
69,278700
70,265900
71,278600
72,265800
73,270800
74,278700
75,275900
76,266800
77,268800
78,267900
79,280000
80,280600
81,275500
82,277500
83,284500
84,283600
85,275700
86,273000
87,281300
88,272600
89,287600
90,280800
91,282100
92,281000
93,271000
94,277600
95,276700
96,278000
97,284400
98,275600
99,278500
100,277200
101,272700
102,274000
103,271000
104,276200
105,260000
106,269800
107,264700
108,268300
109,271100
110,267700
111,259500
112,286600
113,270200
114,269300
115,282200
116,281700
117,276600
118,279900
119,274700
120,270500
121,274000
122,276000
123,275700
124,282200
125,281500
126,283700
127,269200
128,273000
129,267300
130,281300
131,276300
132,281600
133,272500
134,279500
135,275900
136,275700
137,279100
138,281500
139,277900
140,276200
141,279700
142,290700
143,280600
144,282000
145,275500
146,275900
147,273600
148,261400
149,285100
150,285900
151,271300
152,277100
153,275700
154,293400
155,277600
156,286200
157,277400
158,275500
159,274800
160,288300
161,285400
162,285600
163,279300
164,281700
165,281500
166,280700
167,276200
168,280500
169,266300
170,277400
171,277200
172,282700
173,277600
174,282700
175,275700
176,274400
177,281800
178,282500
179,275900
180,266600
181,280900
182,262000
183,290100
184,279500
185,276900
186,277100
187,280900
188,279400
189,283400
190,270800
191,275300
192,268100
193,264300
194,269000
195,265500
196,277800
197,279600
198,273800
199,276300
200,284800
201,289500
202,276000
203,281300
204,283000
205,283000
206,284600
207,282200
208,284800
209,287200
210,278300
211,283300
212,283500
213,280500
214,297500
215,286100
216,283100
217,288000
218,273800
219,275900
220,281200
221,283400
222,267500
223,282200
224,285300
225,283600
226,259200
227,282400
228,280800
229,280200
230,281100
231,261100
232,281500
233,280500
234,276800
235,281900
236,281100
237,280900
238,282200
239,279400
240,279900
241,282300
242,281500
243,287600
244,275700
245,278300
246,280400
247,279500
248,270800
249,280100
250,286200
251,284100
252,279800
253,285100
254,280800
255,277500
256,267600
257,264500
258,251700
259,268000
260,265100
261,258400
262,267800
263,269500
264,283100
265,255900
266,279500
267,275300
268,277300
269,272800
270,271500
271,274200
272,283000
273,283000
274,267400
275,269500
276,271600
277,271700
278,269800
279,273900
280,262100
281,256800
282,271900
283,272800
284,282900
285,261200
286,272400
287,271500
288,265600
289,274100
290,259300
291,273900
292,275000
293,267500
294,274500
295,272300
296,266000
297,270600
298,292100
299,277400
300,278500
301,278300
302,269200
303,281900
304,290100
305,279300
306,260300
307,262700
308,268800
309,266400
310,259000
311,272200
312,260800
313,274500
314,277700
315,277000
316,266300
317,261900
318,276400
319,271000
320,268900
321,277500
322,274100
323,252700
324,270200
325,271400
326,278400
327,274000
328,279000
329,277500
330,279900
331,273400
332,284800
333,274200
334,293600
335,277200
336,275500
337,276400
338,271500
339,281900
340,273800
341,273100
342,277000
343,267600
344,271100
345,252600
346,268700
347,265300
348,273300
349,263500
350,270000
351,269900
352,267800
353,265100
354,266100
355,274400
356,271800
357,267000
358,276900
359,271500
360,278700
361,270600
362,274400
363,269200
364,284300
365,266300
366,269200
367,264000
368,265500
369,258700
370,278400
371,268500
372,264900
373,266500
374,274800
375,258800
376,271100
377,272900
378,267000
379,278000
380,267100
381,264500
382,267100
383,277800
384,266000
385,263100
386,267000
387,273400
388,262600
389,277400
390,273900
391,264200
392,271100
393,267700
394,283700
395,266300
396,284700
397,276100
398,275000
399,277100
400,278900
401,277600
402,280700
403,268800
404,278600
405,276300
406,275700
407,283700
408,268200
409,263500
410,270900
411,265000
412,282100
413,275400
414,280400
415,277500
416,272800
417,269300
418,281000
419,273000
420,271000
421,276000
422,270200
423,274500
424,282000
425,285500
426,283300
427,279000
428,278000
429,269700
430,275900
431,267600
432,266100
433,269300
434,276000
435,269400
436,270100
437,270900
438,272200
439,274000
440,272800
441,270700
442,274500
443,264400
444,255900
445,265400
446,274400
447,265900
448,276000
449,272400
450,267500
451,277900
452,269300
453,267800
454,279400
455,285300
456,281900
457,273000
458,250400
459,281100
460,256100
461,273000
462,261300
463,267200
464,252300
465,271300
466,271500
467,273200
468,259700
469,265600
470,264400
471,260300
472,274600
473,269500
474,273100
475,265600
476,276000
477,275500
478,263600
479,277500
480,279200
481,273200
482,258400
483,269500
484,266400
485,277600
486,282200
487,287800
488,273000
489,273000
490,274200
491,273800
492,264900
493,262600
494,260200
495,274700
496,274500
497,275200
498,271300
499,274000
500,273900
501,263100
502,282700
503,282900
504,272600
505,274300
506,274000
507,269900
508,260000
509,265200
510,273100
511,258700
512,270400
513,267700
514,270800
515,281700
516,280600
517,281000
518,272500
519,260800
520,275500
521,273700
522,265800
523,267100
524,268300
525,255600
526,275800
527,272200
528,271200
529,274900
530,276300
531,275900
532,281200
533,272900
534,277900
535,270600
536,273900
537,255100
538,275200
539,275600
540,275400
541,260100
542,275600
543,278000
544,276900
545,260000
546,267800
547,276000
548,277900
549,255600
550,266700
551,277500
552,275900
553,263200
554,261000
555,278100
556,278700
557,265700
558,277400
559,280400
560,271700
561,263000
562,273200
563,264400
564,264000
565,263300
566,274600
567,269700
568,270400
569,273800
570,265000
571,259100
572,278000
573,275600
574,272800
575,278200
576,282200
577,265500
578,280100
579,284800
580,266300
581,272100
582,258900
583,260700
584,251700
585,279100
586,265300
587,280500
588,258500
589,270400
590,272800
591,265800
592,276500
593,267600
594,270900
595,256400
596,267900
597,273700
598,270100
599,256800
600,266100
601,270700
602,266300
603,274000
604,258300
605,265400
606,267400
607,274400
608,283000
609,287500
610,275800
611,280000
612,271800
613,257800
614,263700
615,259200
616,269900
617,260700
618,265300
619,276100
620,263700
621,272900
622,274500
623,261300
624,265700
625,281300
626,277700
627,265700
628,292000
629,297000
630,270100
631,274600
632,269800
633,271800
634,267700
635,259900
636,276100
637,274800
638,274200
639,277900
640,278400
641,272000
642,282700
643,281000
644,272800
645,269500
646,264100
647,269900
648,256300
649,264600
650,273000
651,261300
652,273000
653,270300
654,271500
655,276500
656,263200
657,263000
658,263800
659,268400
660,275700
661,265900
662,280600
663,272800
664,269200
665,275200
666,270000
667,272700
668,285400
669,282500
670,270400
671,260900
672,276600
673,273200
674,270900
675,275800
676,274900
677,256900
678,270900
679,271200
680,279000
681,276900
682,258400
683,275500
684,276400
685,259700
686,283000
687,265300
688,273500
689,270600
690,273700
691,272400
692,271800
693,270400
694,273400
695,265800
696,272000
697,279000
698,270500
699,274000
700,277600
701,264200
702,260500
703,271800
704,276000
705,259800
706,273300
707,278700
708,273400
709,273500
710,281100
711,269000
712,278000
713,271600
714,271400
715,265900
716,277100
717,274000
718,272400
719,276500
720,271000
721,275400
722,261600
723,273600
724,272400
725,269000
726,270600
727,273800
728,288300
729,278200
730,276700
731,277700
732,271800
733,276000
734,271800
735,262200
736,271300
737,280400
738,265700
739,266500
740,276600
741,276900
742,256300
743,263600
744,266800
745,267900
746,275100
747,273700
748,271900
749,271100
750,262900
751,277500
752,277300
753,270100
754,269100
755,272400
756,276300
757,282500
758,288100
759,279400
760,277000
761,264700
762,272000
763,268400
764,264400
765,268800
766,278000
767,271600
768,275600
769,278600
770,263900
771,278500
772,265600
773,275100
774,267900
775,273000
776,270500
777,275200
778,275000
779,252800
780,283200
781,275100
782,279700
783,271800
784,270800
785,284200
786,286500
787,268100
788,263700
789,288700
790,278600
791,268700
792,274100
793,268700
794,278600
795,278400
796,278900
797,273400
798,270700
799,259000
800,275800
801,277400
802,274100
803,270000
804,276600
805,270100
806,276000
807,274500
808,272800
809,263700
810,280400
811,264900
812,275000
813,273900
814,274200
815,275000
816,274000
817,284300
818,276900
819,287200
820,266400
821,277800
822,280600
823,264800
824,265400
825,275900
826,273800
827,278500
828,273800
829,266100
830,270100
831,271700
832,271800
833,278100
834,271900
835,275200
836,271800
837,271700
838,270500
839,269300
840,269300
841,267600
842,270700
843,261900
844,277900
845,276100
846,272800
847,278600
848,254100
849,297700
850,276300
851,287500
852,273400
853,276700
854,277100
855,263700
856,262300
857,280500
858,274000
859,270900
860,266900
861,266800
862,275700
863,267600
864,267300
865,254300
866,269000
867,260000
868,272900
869,274100
870,272700
871,273500
872,264600
873,257300
874,270100
875,282400
876,275600
877,276900
878,285100
879,284100
880,275100
881,273600
882,277800
883,275900
884,274400
885,281100
886,294900
887,295900
888,273000
889,268600
890,272400
891,273900
892,261100
893,273700
894,262700
895,275000
896,271600
897,278900
898,279900
899,252200
900,272800
901,274200
902,270900
903,273900
904,269300
905,281000
906,260300
907,286500
908,282900
909,275000
910,261200
911,276300
912,278400
913,275900
914,263000
915,270600
916,272900
917,271600
918,269900
919,261300
920,270000
921,281600
922,276200
923,267900
924,258700
925,260300
926,271600
927,273800
928,271100
929,279900
930,262200
931,267800
932,276800
933,269700
934,269900
935,276000
936,268200
937,275000
938,284900
939,289200
940,273800
941,258400
942,262000
943,277500
944,264800
945,268400
946,269900
947,274800
948,274400
949,263100
950,268500
951,274400
952,273400
953,267400
954,273000
955,263900
956,271400
957,271000
958,275500
959,274500
960,270700
961,271000
962,261300
963,261600
964,276600
965,268500
966,280000
967,277500
968,282500
969,290900
970,292300
971,273200
972,273700
973,261700
974,280800
975,274500
976,284000
977,265200
978,283100
979,267300
980,274700
981,270400
982,266600
983,261800
984,273300
985,262600
986,260500
987,272800
988,271500
989,254900
990,271600
991,278500
992,266000
993,262000
994,272100
995,259700
996,279400
997,278000
998,275600
999,291400
1000,288000
