Trial,MinLatency(ns)
1,467556
2,434752
3,394247
4,78810
5,410149
6,211325
7,65008
8,134216
9,100912
10,328839
11,91811
12,285435
13,33804
14,58107
15,22903
16,43006
17,176921
18,149517
19,151818
20,126515
21,172421
22,236429
23,27103
24,29203
25,179421
26,162920
27,154618
28,180621
29,165720
30,209925
31,161519
32,152219
33,112814
34,44505
35,157119
36,22802
37,204524
38,20503
39,205325
40,176422
41,107113
42,178522
43,16202
44,171522
45,158319
46,215027
47,159519
48,148418
49,140217
50,106813
51,87011
52,27803
53,17902
54,36305
55,39504
56,10601
57,83210
58,22802
59,18502
60,134317
61,23503
62,281834
63,124916
64,318339
65,44606
66,17702
67,85110
68,14002
69,48706
70,71609
71,17402
72,61908
73,62007
74,10102
75,77510
76,71009
77,73309
78,84811
79,84910
80,132016
81,128516
82,106413
83,118815
84,135816
85,217127
86,159119
87,37305
88,16402
89,75309
90,8701
91,61108
92,69809
93,129016
94,146318
95,26303
96,16402
97,157820
98,105913
99,78810
100,73209
101,33405
102,19402
103,92012
104,248931
105,108313
106,34304
107,36605
108,48606
109,10801
110,60107
111,61108
112,72809
113,107614
114,19102
115,153918
116,158420
117,261032
118,90112
119,11402
120,60608
121,46806
122,60008
123,82910
124,92611
125,102512
126,123715
127,92711
128,131016
129,95712
130,44706
131,18502
132,121215
133,114014
134,114514
135,112214
136,82910
137,13602
138,113414
139,121615
140,90811
141,85911
142,90811
143,117115
144,143718
145,215526
146,185623
147,182823
148,137317
149,147618
150,193024
151,182023
152,194224
153,137717
154,151618
155,200524
156,150919
157,15902
158,29004
159,92812
160,97712
161,12702
162,110314
163,28403
164,164421
165,201825
166,208026
167,36204
168,141718
169,135717
170,113614
171,139717
172,14402
173,93911
174,182223
175,177623
176,90412
177,14602
178,153519
179,171421
180,192625
181,201225
182,196925
183,224028
184,147318
185,132617
186,187523
187,17702
188,25104
189,179123
190,185923
191,183823
192,148019
193,184323
194,148219
195,141018
196,192224
197,160821
198,172422
199,173121
200,175422
201,178923
202,104213
203,180022
204,159720
205,160021
206,183823
207,189523
208,185523
209,182323
210,129217
211,209026
212,21303
213,154619
214,188524
215,21503
216,212026
217,158520
218,164921
219,151319
220,190024
221,181823
222,211827
223,192324
224,17702
225,210226
226,185824
227,199125
228,196924
229,148918
230,145418
231,139918
232,178722
233,21302
234,109214
235,141517
236,27703
237,116115
238,25903
239,19302
240,155820
241,256732
242,26803
243,230829
244,258732
245,23103
246,171122
247,44905
248,150619
249,26103
250,134517
251,23203
252,152419
253,16702
254,143318
255,172622
256,18602
257,179222
258,153420
259,207326
260,153120
261,165020
262,168321
263,197025
264,193125
265,142018
266,18403
267,189824
268,172222
269,166921
270,162020
271,179223
272,66708
273,203226
274,118315
275,188424
276,203726
277,130617
278,157120
279,179022
280,174122
281,216927
282,193124
283,191724
284,163221
285,188924
286,35605
287,122215
288,162220
289,22402
290,159820
291,161720
292,199925
293,202825
294,167621
295,160719
296,170121
297,109114
298,187224
299,174821
300,211626
301,214126
302,95012
303,162620
304,147118
305,193224
306,189223
307,138017
308,116815
309,153419
310,22203
311,15402
312,13202
313,163820
314,193224
315,202625
316,185523
317,149219
318,188724
319,198024
320,143718
321,176522
322,152019
323,187024
324,177722
325,213827
326,155220
327,195124
328,241430
329,251632
330,242530
331,236529
332,223328
333,265633
334,238230
335,234729
336,187723
337,17403
338,67408
339,240930
340,190324
341,235929
342,250531
343,184823
344,241730
345,36104
346,257032
347,15902
348,220727
349,196624
350,231329
351,229429
352,40505
353,254931
354,273434
355,219527
356,245730
357,230729
358,230928
359,235529
360,235029
361,225828
362,181923
363,210726
364,246331
365,210026
366,195524
367,166621
368,219727
369,234429
370,230928
371,163520
372,235330
373,25503
374,190924
375,199425
376,188723
377,19602
378,25403
379,12501
380,82610
381,152619
382,210026
383,215327
384,170621
385,215026
386,201825
387,191324
388,174922
389,203925
390,165820
391,140317
392,183122
393,234829
394,197124
395,137817
396,229428
397,201825
398,233129
399,179622
400,21203
401,179522
402,198624
403,201425
404,177522
405,160620
406,215926
407,208425
408,221927
409,34704
410,173021
411,227027
412,192524
413,160620
414,179022
415,198225
416,208626
417,173421
418,124815
419,152419
420,171721
421,182922
422,170420
423,166520
424,193924
425,190623
426,196124
427,181622
428,172722
429,160020
430,174621
431,173922
432,159420
433,178121
434,200025
435,184522
436,17902
437,189823
438,143317
439,200924
440,208726
441,184322
442,167320
443,207825
444,143217
445,206525
